patch_id,installed_on,description,installed_by
KB3093513,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3097989,10/6/2020,Security Update,NT AUTHORITY\SYSTEM
KB3101722,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3107998,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3108371,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3108664,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3109103,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3109560,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3110329,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3115858,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3122648,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3124275,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3126587,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3127220,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3133977,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3137061,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3138378,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3138612,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3138910,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3139398,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3139914,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3140245,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3147071,12/17/2020,Update,NT AUTHORITY\SYSTEM
KB3150220,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3155178,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3156016,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3159398,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3161102,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3161949,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3170735,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3179573,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3184143,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3185319,12/19/2020,Security Update,NT AUTHORITY\SYSTEM
